word,count,문의유형
해결하기,2,코드1
NNOOOSS,1,코드1
하였는데,7,코드1
일을,1,코드1
이후에,2,코드1
째에,1,코드1
lcount,1,코드1
출력되는지,2,코드1
나오는,23,코드1
고쳐도,1,코드1
solfind,1,코드1
설명해,2,코드1
분할,2,코드1
이유와,1,코드1
변수가,2,코드1
N값,1,코드1
거의,1,코드1
그때,1,코드1
페이지의,1,코드1
오른쪽에,3,코드1
실패하는,1,코드1
답변,19,코드1
Yes,1,코드1
그렸을때는,1,코드1
문제에서는,1,코드1
풀었다고,1,코드1
생각이,2,코드1
바람에,1,코드1
걸쳐,2,코드1
루프는,1,코드1
힌트나,1,코드1
가져오는데,1,코드1
예약어를,2,코드1
이름이라고,1,코드1
dindex,1,코드1
경계값,1,코드1
확인,13,코드1
제외시키되,1,코드1
방법을,14,코드1
입력해야,3,코드1
외에,1,코드1
거리로,1,코드1
마우스나,1,코드1
합성,1,코드1
되었을,1,코드1
의미인지,1,코드1
쓰는지,2,코드1
것일까요,3,코드1
세는,7,코드1
넘기는,1,코드1
머리가,2,코드1
reshape,3,코드1
if로,1,코드1
화면이,1,코드1
win,18,코드1
테스트케이스가,1,코드1
벗어나는,2,코드1
조금,6,코드1
코끼리,3,코드1
되는지도,1,코드1
제어문을,1,코드1
합이,2,코드1
if처럼,1,코드1
아니라,14,코드1
선형검색,1,코드1
텍스트,1,코드1
이동해야하나요,1,코드1
빨래,1,코드1
푼다,1,코드1
불러오고,1,코드1
y라고,1,코드1
선택한,1,코드1
봤는데,1,코드1
이용하여,1,코드1
라이브러리가,2,코드1
반복횟수,1,코드1
프로그래밍,2,코드1
제출합니다,1,코드1
못합니다,1,코드1
k는,1,코드1
내에,2,코드1
마라톤,1,코드1
백슬래시에,1,코드1
뜨지,2,코드1
아니고,2,코드1
연습,1,코드1
문자나,2,코드1
레퍼런스도,1,코드1
질문에,2,코드1
의구심을,1,코드1
예시와,1,코드1
했던,1,코드1
기준에,2,코드1
remove를,1,코드1
데이터,9,코드1
구하는게,1,코드1
있기,1,코드1
input값이,2,코드1
있거나,2,코드1
LOVE,2,코드1
사용자,2,코드1
중간부터,1,코드1
이런식으로,8,코드1
k개의,1,코드1
기초,2,코드1
곳의,2,코드1
datetimedate,1,코드1
실패하여,1,코드1
명시되어있는데,2,코드1
만들어진,3,코드1
왼쪽으로,1,코드1
되어있는데,3,코드1
지키는,2,코드1
풀어보려,1,코드1
했고,1,코드1
연결된,4,코드1
print문을,1,코드1
뜨네요,4,코드1
저장되는지,1,코드1
pop은,1,코드1
아니었습니다,1,코드1
붙은,2,코드1
빼고는,2,코드1
자신의,1,코드1
실행했을,2,코드1
수식으로,1,코드1
쓴다는,1,코드1
THU,7,코드1
배열로,8,코드1
P점,6,코드1
hh,1,코드1
문이,2,코드1
확인해,1,코드1
받아주시나요,1,코드1
부탁드립니다,12,코드1
bappend,12,코드1
된적이,1,코드1
봐서,1,코드1
정하기의,1,코드1
위로,3,코드1
for문을,2,코드1
수강과,1,코드1
답변을,7,코드1
node,1,코드1
바로,10,코드1
지난,1,코드1
비교를,1,코드1
생겨서,3,코드1
단지에,3,코드1
출제자의,1,코드1
b에,3,코드1
f보초법,1,코드1
추가,16,코드1
에서부터,1,코드1
메로나,5,코드1
박을,3,코드1
예제입력,1,코드1
싶어요,1,코드1
문장을,1,코드1
출력하라고,1,코드1
EC,17,코드1
터치한,1,코드1
안에서,4,코드1
가로가,1,코드1
정렬하고픈,1,코드1
되는지,7,코드1
소수아님,1,코드1
xleft,8,코드1
그것이,1,코드1
Scripts,1,코드1
드렸습니다,1,코드1
사탕과,1,코드1
상을,63,코드1
sep,1,코드1
라는,24,코드1
언제든,1,코드1
문의글을,1,코드1
숫자가,7,코드1
번도,2,코드1
언급은,1,코드1
양옆,1,코드1
유의하세요,3,코드1
RGB,5,코드1
waterPay,13,코드1
시작이,1,코드1
번문제를,1,코드1
이거랑,3,코드1
설명에서는,1,코드1
shape를,1,코드1
까지는,2,코드1
타임,1,코드1
풀이했는데,1,코드1
돈보다,1,코드1
행마다,2,코드1
메소드나,1,코드1
어째서,3,코드1
count에,2,코드1
시작했는데요,1,코드1
한사랑,9,코드1
나오고,7,코드1
sssplit,1,코드1
드리게,2,코드1
사용했을,2,코드1
real,1,코드1
뜨는지,4,코드1
구동이,1,코드1
작동하지,1,코드1
째자리에서,1,코드1
된건가요,1,코드1
되는걸로,1,코드1
의미인,1,코드1
코딩이,1,코드1
알맞게,1,코드1
고민,1,코드1
친절한,5,코드1
입력해,2,코드1
출력했는데,1,코드1
yyyy,1,코드1
출력하고싶은데,1,코드1
value식의,1,코드1
sentinel방법으로,1,코드1
지목된,1,코드1
두개를,1,코드1
봐주시겠어요,1,코드1
되지만,1,코드1
값으로,3,코드1
받는거에서,1,코드1
테스트해봐도,1,코드1
target,8,코드1
도어락,1,코드1
것이고,2,코드1
안돼서,1,코드1
첨부해드리겠습니다,1,코드1
짧은,5,코드1
상받는,1,코드1
강의해주셔서,1,코드1
출력하는지도,1,코드1
놓친,7,코드1
있으실까요,1,코드1
못찾아,1,코드1
z축을,2,코드1
name,1,코드1
달라서,1,코드1
visitedadd,1,코드1
안풀었다고,1,코드1
abs,26,코드1
학생인데,1,코드1
나오도록,1,코드1
박고,1,코드1
배우게,1,코드1
sort,2,코드1
필요한것같아서,1,코드1
numpyarray를,1,코드1
활용해,3,코드1
사탕의,2,코드1
지불해야할,1,코드1
Associate로,1,코드1
오늘은,2,코드1
오름차순으로,5,코드1
얻고싶습니다ㅎ,1,코드1
오답이,1,코드1
실패,1,코드1
친절하게,1,코드1
옆으로,1,코드1
같거나,1,코드1
선형검색은,1,코드1
주피터노트북으로,1,코드1
빼고,4,코드1
정수가,1,코드1
빠진거라,1,코드1
씌워져서,2,코드1
순서에,1,코드1
되었기,1,코드1
넘파이,1,코드1
뭔가요,3,코드1
찍는다는,1,코드1
함수가,4,코드1
B회사의,3,코드1
번만,5,코드1
자리가,1,코드1
되었지만,1,코드1
표현할,5,코드1
문제,70,코드1
BG,1,코드1
출력값은,3,코드1
농법,1,코드1
단계까지만,1,코드1
따라서,5,코드1
if문은,1,코드1
다시,36,코드1
사실,3,코드1
틀렸습니다가,2,코드1
갯수만큼,1,코드1
통과는,1,코드1
num,110,코드1
whole,1,코드1
않더라도,1,코드1
잘모르겠습니다,3,코드1
명이,6,코드1
판단하고,1,코드1
다음으로,2,코드1
결과입니다,2,코드1
responseread,2,코드1
게임보드판,2,코드1
뒤부터,1,코드1
판별하는,1,코드1
시간들을,2,코드1
요소의,2,코드1
학교에,1,코드1
지문과,1,코드1
안옵니다,3,코드1
차이인,1,코드1
동일해도,1,코드1
확인하기위해,1,코드1
첨부파일에,2,코드1
구성해야,1,코드1
단계로,2,코드1
순열,1,코드1
직사각형의,1,코드1
시간이,1,코드1
상대까지,1,코드1
틀린,4,코드1
출력해보기도,1,코드1
일지매를,1,코드1
person,2,코드1
관광지가,1,코드1
이어야,1,코드1
연락,1,코드1
질문드렸는데,1,코드1
작으면,5,코드1
뒤에서는,1,코드1
퍼즐,3,코드1
수신인으로,1,코드1
문제부터,1,코드1
구입하시겠습니까,1,코드1
많다는,1,코드1
전기사용량을,1,코드1
배열의,1,코드1
추출했으나,1,코드1
N에다가,1,코드1
판다스,1,코드1
num을,1,코드1
싶은데,5,코드1
나타나,1,코드1
seqScore,6,코드1
한두개씩,1,코드1
leastresult,2,코드1
제어문,2,코드1
value가,1,코드1
있는게,1,코드1
꼼꼼히,1,코드1
커피값이,1,코드1
추가실습,2,코드1
key는,1,코드1
줄일,1,코드1
답이,15,코드1
입력값에는,2,코드1
return값을,1,코드1
day,8,코드1
번문제,1,코드1
절대평가,1,코드1
정답이,7,코드1
따로있는데,1,코드1
되나요,12,코드1
효과가,2,코드1
al,2,코드1
로할경우,1,코드1
작동하질,1,코드1
수라는,1,코드1
틀렸다고,3,코드1
싶습니다,26,코드1
첨부된,2,코드1
하지만,10,코드1
입력되는,4,코드1
받기,5,코드1
이렇게,65,코드1
다른방법이,1,코드1
선언이,1,코드1
영희가,1,코드1
발신인으로,1,코드1
가방일,1,코드1
보았을,2,코드1
이나,2,코드1
문의합니다,1,코드1
로는,1,코드1
최대공약수가,1,코드1
조금더,1,코드1
금액,1,코드1
부여하게,1,코드1
뜨고,1,코드1
방향이,1,코드1
이번에도,1,코드1
줄을,2,코드1
자리이기,1,코드1
모든,14,코드1
depth,9,코드1
복사하니,1,코드1
있습니다라는,2,코드1
Failed,6,코드1
해결,3,코드1
이상,11,코드1
정답들이,1,코드1
문의를,5,코드1
점수들중에서만,1,코드1
필요한지,1,코드1
곱해서,1,코드1
있으셨을,1,코드1
리스트를,10,코드1
수정하였는데,1,코드1
입력하시던데,1,코드1
증가시키는,1,코드1
마지막으로,3,코드1
한개의,1,코드1
폴더를,1,코드1
내용에,2,코드1
pointappend,2,코드1
올립니다,3,코드1
피자집과의,1,코드1
distappend,1,코드1
안가네요,1,코드1
최종,3,코드1
빈칸으로,1,코드1
cntget,1,코드1
랭킹에는,1,코드1
abc,1,코드1
파악이,1,코드1
방식에서,1,코드1
인원도,1,코드1
없으니,2,코드1
찾는데,1,코드1
바뀌어야,1,코드1
인덱스가,1,코드1
있겠는데,1,코드1
최대거리,1,코드1
반복이,1,코드1
않아서,9,코드1
Traceback,4,코드1
가능할까요,1,코드1
해야할지,7,코드1
어디에서,2,코드1
필요할,1,코드1
저도,1,코드1
이해못하여서,1,코드1
string이라고,1,코드1
쓰이는데,1,코드1
해결할수,1,코드1
enumerate,8,코드1
해석하였습니다,1,코드1
잘되는데,2,코드1
break의,1,코드1
채점결과,1,코드1
확인해주시면,2,코드1
입력할,1,코드1
리스트a,3,코드1
뜨는,9,코드1
문제부분,2,코드1
짝수만,1,코드1
TUE,7,코드1
복습해보려,1,코드1
일부,3,코드1
넣는경우가,1,코드1
water,7,코드1
Msappend,4,코드1
위의,9,코드1
상충되는,1,코드1
numOfRows,6,코드1
다르게,11,코드1
걸이,1,코드1
squares라는,1,코드1
중이며,1,코드1
있어서,9,코드1
술래가,2,코드1
한명이,1,코드1
실행되었다,1,코드1
ABCD,1,코드1
질문을,7,코드1
마지막까지,1,코드1
evaluation,2,코드1
골라야,2,코드1
검은색,1,코드1
이루어진,4,코드1
사진으로,3,코드1
f검색값은,2,코드1
가르치는,2,코드1
qappend,10,코드1
길어서,1,코드1
고려를,1,코드1
도출했는데,1,코드1
경우도,5,코드1
입력됩니다,4,코드1
여부는,2,코드1
작성해주세요,3,코드1
좌표값들을,2,코드1
문자열,13,코드1
동일하고,1,코드1
개수만큼,1,코드1
만들어,6,코드1
헷갈립니다,5,코드1
출력되는데요,1,코드1
lst,7,코드1
chunk,2,코드1
x축이,1,코드1
아님,2,코드1
가지의,1,코드1
iYear도,1,코드1
npmin,1,코드1
넓이를,2,코드1
누적되서,1,코드1
틀린문제,1,코드1
정렬만,1,코드1
되네요,1,코드1
vscode에서,1,코드1
어디인가,1,코드1
열에,3,코드1
열심히,1,코드1
최댓값인,1,코드1
얼마전,1,코드1
코카콜라,1,코드1
fromPage,3,코드1
f주문할게요,1,코드1
어떻게,88,코드1
각기,1,코드1
더하는,4,코드1
갖게,1,코드1
시작인데,1,코드1
시에는,1,코드1
첫번째,7,코드1
조정하지,1,코드1
없었습니다,1,코드1
줄바꿈,2,코드1
표현을,2,코드1
시간초과가,3,코드1
힌트라도,1,코드1
취미,2,코드1
순서,1,코드1
bcopy,1,코드1
bestresult,3,코드1
조회해보니,1,코드1
입니다format,3,코드1
시작했는데,1,코드1
정점,13,코드1
된다고,9,코드1
max,47,코드1
넘게,1,코드1
잘못되었는지,4,코드1
들어올,1,코드1
궁금증이,1,코드1
혹은,5,코드1
했을시,1,코드1
수도사용량은,1,코드1
행렬안에,1,코드1
새롭게,1,코드1
알게,1,코드1
구현했습니다만,1,코드1
유의미한,2,코드1
학생의,9,코드1
없었고,1,코드1
결과값을,7,코드1
number,26,코드1
도출이,1,코드1
nums를,1,코드1
도와주시면,1,코드1
enddistance,1,코드1
접근하는,1,코드1
뭘까요,3,코드1
바꾸어,2,코드1
이해되지,1,코드1
내용은,1,코드1
똑같다,1,코드1
이유를,13,코드1
돌기만,1,코드1
P란,1,코드1
쉬운,2,코드1
ED,4,코드1
동일,1,코드1
electricPay,2,코드1
데이터프레임으로,2,코드1
못해,3,코드1
육지,4,코드1
이해한건지,1,코드1
수정하면,2,코드1
try,1,코드1
남깁니다,8,코드1
CD,1,코드1
남아서,1,코드1
리스트aappend,1,코드1
특징에는,1,코드1
상대평가,1,코드1
힌트를,5,코드1
않는다는,1,코드1
만들었던,1,코드1
제공되는,1,코드1
나타냈습니다,1,코드1
포함되어,1,코드1
물어봅니다,1,코드1
무엇인지,11,코드1
넘어가는,2,코드1
사용가능합니다,1,코드1
이때,12,코드1
nt,1,코드1
그냥,9,코드1
이해하면,2,코드1
지문,1,코드1
내기,1,코드1
나왔고,1,코드1
반복적으로,2,코드1
예제에보면,1,코드1
강사님의,1,코드1
첨부드립니다,3,코드1
별의,1,코드1
적혀있으나,1,코드1
존재한다면,2,코드1
개념이,1,코드1
해결하였는데요,1,코드1
입력해도,1,코드1
빼서,1,코드1
truth,1,코드1
의경우,1,코드1
차원에서는,1,코드1
한다,2,코드1
sequence,1,코드1
이부분을,1,코드1
m개의,1,코드1
말로써,1,코드1
것을,13,코드1
답안,2,코드1
없기,1,코드1
놓고,2,코드1
원소,7,코드1
했는지,1,코드1
같게,1,코드1
call,6,코드1
붙여넣습니다,1,코드1
리스트가,1,코드1
decode,2,코드1
돌렸을,2,코드1
이해했는데,3,코드1
pass,14,코드1
배열해야,1,코드1
꿀팁,1,코드1
Type,2,코드1
생성되는데,1,코드1
있는것처럼,1,코드1
싶은데요,1,코드1
어떠한,2,코드1
liinsert,1,코드1
구글에,1,코드1
범위로,2,코드1
최댓값은,6,코드1
않습니다,19,코드1
없는걸까요,1,코드1
지금,7,코드1
제곱근,1,코드1
turn,19,코드1
받는걸로,1,코드1
코딩한거랑,2,코드1
수열의,4,코드1
없다고,2,코드1
전기,1,코드1
값X,2,코드1
yes,3,코드1
덱과,1,코드1
도므로,1,코드1
때의,4,코드1
않는상태입니다,1,코드1
사용가능한,1,코드1
첨부해주신,2,코드1
옮기고,1,코드1
연산자로,2,코드1
최대한의,2,코드1
나오게,2,코드1
g로,2,코드1
불가능할,1,코드1
학생은,3,코드1
코딩마스터즈로,1,코드1
s문이,1,코드1
참고하시면,2,코드1
이동횟수,1,코드1
부분은,3,코드1
축이,2,코드1
민겸이는,4,코드1
써있는,2,코드1
한번,9,코드1
정렬하면,2,코드1
내보낼,1,코드1
sum이라는,2,코드1
숫자는,3,코드1
수열이,6,코드1
크기의,8,코드1
숫자들의,1,코드1
계산했는데,1,코드1
앞의,6,코드1
실수는,1,코드1
tot라는,2,코드1
답변해주시면,1,코드1
의미하는지,3,코드1
입력하고,3,코드1
주는,3,코드1
봅니다,2,코드1
보시고,1,코드1
일반병사는,1,코드1
비교할줄,1,코드1
바꿨는데도,1,코드1
확인하고자,1,코드1
표시되어야,1,코드1
만큼,3,코드1
문법,2,코드1
횡설수설,1,코드1
이미지도,2,코드1
주피터,1,코드1
미칠까요,1,코드1
이해했는지,1,코드1
할당해야,1,코드1
보내시길,1,코드1
그대로,7,코드1
사용했는데,2,코드1
짜야할까요,2,코드1
정렬되어,2,코드1
작성을,1,코드1
대칭이,1,코드1
remote,1,코드1
위치가,1,코드1
주세요,6,코드1
설정되어서,1,코드1
answerappend,3,코드1
요청드립니다,1,코드1
푸는중에,1,코드1
없는건지,1,코드1
시간은,1,코드1
해걀해야,1,코드1
최소끼리,1,코드1
끝나는,1,코드1
답변해,1,코드1
주어질,2,코드1
부탁드릴,1,코드1
나오는지도,1,코드1
aindex,4,코드1
수치를,2,코드1
del,10,코드1
coml,1,코드1
답변은,3,코드1
특정,1,코드1
돌렸는데,1,코드1
while,69,코드1
중에,5,코드1
temp의,2,코드1
결과없습니다,1,코드1
오류로,1,코드1
같아서,3,코드1
모듈,1,코드1
스타트는,1,코드1
이거는,3,코드1
최대값을,6,코드1
출력되게,4,코드1
출력했을,1,코드1
개수를,12,코드1
고쳐야,1,코드1
gx,4,코드1
구해,1,코드1
while을,1,코드1
gco,2,코드1
앞선,1,코드1
있으면,12,코드1
체스를,1,코드1
되거나,1,코드1
T가,1,코드1
동일합니다,1,코드1
범위가,3,코드1
안나오는데,2,코드1
isdigit,1,코드1
기능에,1,코드1
종료되나요,1,코드1
bsplit,4,코드1
재질문,1,코드1
만들었을때,1,코드1
data,4,코드1
개는,3,코드1
돌아가나,1,코드1
수도,22,코드1
문의가,1,코드1
거라,1,코드1
정해야,1,코드1
maxDepth,4,코드1
어디가,10,코드1
시작할지,1,코드1
안적어,1,코드1
안받는,1,코드1
출력해도,1,코드1
코딩마스터,1,코드1
답안대로,1,코드1
요소가,3,코드1
count만큼,2,코드1
량을,1,코드1
하루,2,코드1
수행하는,1,코드1
인풋에서,1,코드1
all,1,코드1
상의,1,코드1
뒤늦게,1,코드1
하나가,3,코드1
escape,1,코드1
x축을,1,코드1
이렇게요,1,코드1
생각하여,2,코드1
에서만,3,코드1
그래프,1,코드1
npint,1,코드1
출력도,1,코드1
이용한,1,코드1
권한으로,1,코드1
쓰는,5,코드1
문구인가요,1,코드1
하나,8,코드1
배열이기때문에,1,코드1
아닌데,1,코드1
fee,6,코드1
너무,11,코드1
배열을,5,코드1
m을,1,코드1
질의드립니다,1,코드1
정보가,2,코드1
희망,8,코드1
wi,2,코드1
최댓값이,1,코드1
대대,1,코드1
list,202,코드1
작은,10,코드1
수정하여,1,코드1
A회사의,1,코드1
Anaconda,2,코드1
안내,1,코드1
검색해야,1,코드1
돌리고,1,코드1
해결되지,3,코드1
모임이니까,1,코드1
넣어봤습니다,1,코드1
깨달았습니다,1,코드1
넣어봐서,1,코드1
경우,71,코드1
axis,17,코드1
collectionsCounter,35,코드1
대문자,1,코드1
선택했기,1,코드1
o인,1,코드1
out이,1,코드1
테스트케이스에,1,코드1
발생시켜주도록,1,코드1
입력받게끔,1,코드1
코딩을,11,코드1
일단,4,코드1
경우가,12,코드1
하고싶습니다,1,코드1
없게되고,1,코드1
N번째,1,코드1
등록을,1,코드1
가영이가,2,코드1
A가,1,코드1
입력하세요,34,코드1
Areplace,3,코드1
출력하시오,2,코드1
함께,3,코드1
ii,4,코드1
배열에,3,코드1
넘어갈,3,코드1
vend,2,코드1
주어진다는,1,코드1
통과못하는,1,코드1
실행해서,1,코드1
정렬해야,2,코드1
그런지,1,코드1
좋을지,6,코드1
방식으로,3,코드1
그림,2,코드1
겪고,1,코드1
윗방향부터,1,코드1
비비빅,5,코드1
풀이로는,1,코드1
점보다,2,코드1
알아보고,1,코드1
이해하기,1,코드1
간선이,1,코드1
j값을,1,코드1
배수를,1,코드1
fail이,31,코드1
출력하였습니다,1,코드1
문자를,7,코드1
간단히,2,코드1
채우는,4,코드1
보내주신,2,코드1
지정이,1,코드1
모자랍니다,3,코드1
질문입니다,7,코드1
dx,13,코드1
예로,3,코드1
cherry,3,코드1
적는,1,코드1
비교했을,1,코드1
옵니다,1,코드1
지적해주시면,1,코드1
된다는데,2,코드1
거듭제곱형태로,1,코드1
반환하는,2,코드1
예외적인,1,코드1
삭제해주고,1,코드1
DFS함수의,1,코드1
아닌가,1,코드1
점까지는,2,코드1
maxi,16,코드1
안붙치는,1,코드1
설명에는,4,코드1
IP주소,1,코드1
부합하는,1,코드1
같아서요,1,코드1
누적하여,1,코드1
단지,1,코드1
이유는,6,코드1
싶어,3,코드1
우항을,1,코드1
생각조차,1,코드1
손님마다,1,코드1
초기,1,코드1
보는,1,코드1
round로,1,코드1
join,13,코드1
원인을,2,코드1
False,14,코드1
scriptpy,1,코드1
reappend,1,코드1
지나지,1,코드1
만들,2,코드1
예시의,1,코드1
드렸었습니다,1,코드1
시작하자마자,1,코드1
곳을,4,코드1
install이,1,코드1
바꾼,1,코드1
순차적으로,4,코드1
학생들을,4,코드1
return하려면,1,코드1
알려주신다면,1,코드1
케이스가,8,코드1
넘어갑니다,1,코드1
최대끼리,1,코드1
chul,4,코드1
or,59,코드1
만들어집니다,1,코드1
채점하기만,1,코드1
이것저것,3,코드1
아니다,1,코드1
존재하나요,2,코드1
지목,3,코드1
일입니다format,2,코드1
넣는,5,코드1
사람은,1,코드1
반복문에,1,코드1
str,42,코드1
값이면,1,코드1
없어지지가,1,코드1
커트라인이,7,코드1
딕셔너리,5,코드1
수업하고,1,코드1
하라는,1,코드1
word,1,코드1
그중,1,코드1
시험을,3,코드1
오류인거,1,코드1
있어서인가요,1,코드1
통하여,1,코드1
뽑는,3,코드1
몇개의,1,코드1
입장시간이,2,코드1
같아,14,코드1
담을,1,코드1
aiaivle,3,코드1
설명처럼,1,코드1
경품,1,코드1
건너,1,코드1
교환하는,1,코드1
거에는,1,코드1
자세한,3,코드1
표기가,2,코드1
보드판,2,코드1
적응을,1,코드1
anaconda,3,코드1
integer로,1,코드1
행이,2,코드1
clap,3,코드1
subcommand,1,코드1
예제문제,2,코드1
구조,1,코드1
출력된,1,코드1
문자열이,1,코드1
입력받는,6,코드1
돼서,1,코드1
지우는,1,코드1
Pass,3,코드1
위치,4,코드1
칸도,1,코드1
코딩했지만,1,코드1
작성하는,1,코드1
이하라고,1,코드1
사항들이,1,코드1
커트라인은,2,코드1
인사드립니다,2,코드1
어떤기능을,1,코드1
root,9,코드1
말씀해주신,1,코드1
쓰인다는,1,코드1
작동하는데,1,코드1
철수가,1,코드1
소숫점을,1,코드1
처음부터,3,코드1
요청,2,코드1
결과도,1,코드1
입력부분을,1,코드1
정답률이,2,코드1
x형태가,1,코드1
예제는,1,코드1
잘못이해하는건지,1,코드1
할지,3,코드1
주황,1,코드1
접근했지만,1,코드1
successappend,1,코드1
왜하는지,1,코드1
적군,1,코드1
코드가,13,코드1
module,1,코드1
처리해야,1,코드1
푸나요,1,코드1
안나오고,2,코드1
f전기,1,코드1
누르려는,1,코드1
이러한,4,코드1
차감,2,코드1
address,2,코드1
합격,3,코드1
함수에서,1,코드1
n명이,1,코드1
방법이,16,코드1
iEdUnitCode,6,코드1
건가요,24,코드1
무조건,7,코드1
resort,1,코드1
문제인지,12,코드1
문의드렸더니,1,코드1
아래로,3,코드1
풀이,2,코드1
대구경북DX,1,코드1
A와,1,코드1
캡쳐해서,1,코드1
오류,3,코드1
strsplit,1,코드1
보기에,1,코드1
하여,7,코드1
만약,20,코드1
줄에서,1,코드1
보다,6,코드1
구현하였고,1,코드1
밑에서는,1,코드1
받을수,1,코드1
풀면,2,코드1
방법이긴,1,코드1
보입니다,1,코드1
좋은,4,코드1
것과,1,코드1
s가,2,코드1
초과가,1,코드1
아닐,1,코드1
이래서,1,코드1
동일하게,2,코드1
정답에는,1,코드1
싶지,1,코드1
구간은,1,코드1
반영하여,1,코드1
charisalnum,1,코드1
정확합니다,1,코드1
모양의,1,코드1
NOS,2,코드1
재귀함수를,1,코드1
상황이라고,1,코드1
간선을,1,코드1
정상일,1,코드1
발생할때,1,코드1
설명을,4,코드1
while문이,2,코드1
그게,2,코드1
계속,40,코드1
하셨는데,8,코드1
print와,1,코드1
되어있어서,1,코드1
이쪽으로,1,코드1
풀고,4,코드1
해야하는지를,1,코드1
설명해주시면,1,코드1
무한루프를,1,코드1
받고자,1,코드1
일지매,8,코드1
B가,1,코드1
진학,1,코드1
자동적으로,1,코드1
남겼는데,1,코드1
텃밭은,1,코드1
감사드립니다,12,코드1
어느부분에,1,코드1
over,1,코드1
윤이현,1,코드1
SyntaxError,1,코드1
구해야,1,코드1
만들어서,3,코드1
전자의,2,코드1
대각선으로,1,코드1
P가,1,코드1
크다는,1,코드1
iindex,3,코드1
문제란에서는,1,코드1
정말,7,코드1
weekday,3,코드1
대하여,9,코드1
주소값이,3,코드1
정해줘야,1,코드1
말씀해주시면,1,코드1
있으시면,1,코드1
차원일,1,코드1
사용하였고,1,코드1
실패로,3,코드1
아나콘다,3,코드1
변수를,7,코드1
걸려서,1,코드1
되도록이면,2,코드1
구현,1,코드1
작성하고,2,코드1
별찍기에서,1,코드1
점수는,2,코드1
dp,14,코드1
딱히,1,코드1
풀어보다가,1,코드1
mm,1,코드1
치훈이가,1,코드1
배열은,1,코드1
통해,11,코드1
잘할,1,코드1
반대로나오는데,1,코드1
안을,1,코드1
출발점,1,코드1
때려죽여도,1,코드1
도달하는,1,코드1
red와,1,코드1
잘못한건가요,1,코드1
구입할,3,코드1
이것,1,코드1
예를들면,1,코드1
아낙수와,1,코드1
요금은,2,코드1
상의는,1,코드1
부서의,1,코드1
영역,1,코드1
매니저님,2,코드1
주석이,1,코드1
있을지,4,코드1
b와,1,코드1
샘플을,1,코드1
나이트와,1,코드1
나온,1,코드1
다름이,3,코드1
반복해서,2,코드1
길이를,3,코드1
참일,1,코드1
안했는데,1,코드1
청록색,1,코드1
mem이라는게,1,코드1
리스트들로,1,코드1
문자열에,2,코드1
정도는,1,코드1
담긴,1,코드1
세로의,1,코드1
누적이,2,코드1
